,open_time,open,high,low,close,volume,close_time,quote_volumn,number_of_trades,taker_buy_volume,taker_buy_quote_volume,ignore
73,1717264800000,3807.01000000,3809.81000000,3797.71000000,3802.00000000,4140.38780000,1717268399999,15740075.81164200,13162,1896.66350000,7209914.11491100,0
74,1717268400000,3801.99000000,3806.73000000,3797.15000000,3804.51000000,2493.45320000,1717271999999,9481008.99800200,10260,1267.37730000,4818807.05508300,0
75,1717272000000,3804.50000000,3807.50000000,3799.00000000,3806.78000000,3852.66610000,1717275599999,14651691.48880700,11145,1821.78550000,6928585.48147900,0
76,1717275600000,3806.78000000,3822.00000000,3805.50000000,3815.51000000,7398.45060000,1717279199999,28214159.35956500,19087,4712.78730000,17974355.52852900,0
77,1717279200000,3815.50000000,3833.30000000,3815.50000000,3821.86000000,8282.80560000,1717282799999,31671435.81722200,19581,4919.35580000,18810588.80358100,0
78,1717282800000,3821.86000000,3823.39000000,3813.12000000,3815.82000000,4764.04080000,1717286399999,18184954.37952200,10547,2332.63260000,8903032.98456100,0
79,1717286400000,3815.82000000,3836.25000000,3814.00000000,3835.30000000,5719.48850000,1717289999999,21868091.45841400,14031,3370.34950000,12887421.07863400,0
80,1717290000000,3835.30000000,3838.59000000,3822.50000000,3824.00000000,7291.84520000,1717293599999,27939174.49437300,16426,3481.42540000,13342102.86536400,0
81,1717293600000,3824.00000000,3826.46000000,3797.70000000,3806.50000000,16733.80080000,1717297199999,63799218.23259200,29397,7642.69520000,29140401.73904600,0
82,1717297200000,3806.50000000,3811.17000000,3802.71000000,3807.13000000,10617.54030000,1717300799999,40417821.76048800,31795,5514.15270000,20990636.73902900,0
83,1717300800000,3807.13000000,3821.49000000,3804.26000000,3821.35000000,15363.45430000,1717304399999,58551246.23423800,76114,8709.40550000,33192123.53863600,0
84,1717304400000,3821.35000000,3824.50000000,3805.50000000,3805.55000000,9589.65520000,1717307999999,36569976.75520500,26458,4369.94680000,16666425.25940700,0
85,1717308000000,3805.52000000,3815.00000000,3805.01000000,3814.98000000,7052.98850000,1717311599999,26876869.57007200,17094,3862.57480000,14719120.48868400,0
86,1717311600000,3814.99000000,3815.00000000,3792.25000000,3793.33000000,10260.55060000,1717315199999,39013040.02141100,23014,4276.88210000,16257863.03217500,0
87,1717315200000,3793.33000000,3801.58000000,3781.43000000,3794.20000000,6504.47330000,1717318799999,24669314.00250400,19174,3385.97640000,12842559.66629700,0
88,1717318800000,3794.20000000,3797.78000000,3770.99000000,3780.16000000,13434.93930000,1717322399999,50820651.78179200,33715,6850.99230000,25914067.48963600,0
89,1717322400000,3780.16000000,3783.40000000,3771.38000000,3782.19000000,7947.06830000,1717325999999,30015186.14805400,17161,4213.87100000,15915082.52605300,0
90,1717326000000,3782.19000000,3810.00000000,3777.10000000,3805.01000000,12157.09030000,1717329599999,46184928.56080700,35368,6241.17460000,23705535.06486700,0
91,1717329600000,3805.01000000,3810.00000000,3786.11000000,3788.11000000,6339.15780000,1717333199999,24071537.04725500,26217,2815.01190000,10689080.65142500,0
92,1717333200000,3788.12000000,3800.60000000,3776.86000000,3796.09000000,6066.47330000,1717336799999,22978649.28302800,17631,2924.36890000,11080058.60879700,0
93,1717336800000,3796.10000000,3810.00000000,3790.01000000,3806.00000000,7433.77000000,1717340399999,28256600.26194100,24010,4290.87050000,16309579.36689500,0
94,1717340400000,3805.99000000,3807.93000000,3792.71000000,3798.78000000,4139.77690000,1717343999999,15727340.36640500,14157,1918.90700000,7289687.09468400,0
95,1717344000000,3798.79000000,3803.67000000,3787.30000000,3791.35000000,4645.71510000,1717347599999,17620583.49350700,18236,2318.28450000,8793119.92312900,0
96,1717347600000,3791.35000000,3791.35000000,3772.11000000,3772.12000000,12225.35100000,1717351199999,46197255.42286500,26394,6346.45830000,23980489.19706700,0
97,1717351200000,3772.11000000,3774.39000000,3752.62000000,3770.85000000,12726.68090000,1717354799999,47895245.60444400,30265,6144.80400000,23126185.12529600,0
98,1717354800000,3770.86000000,3783.19000000,3759.97000000,3782.37000000,7987.59160000,1717358399999,30102921.55949900,19440,3751.36530000,14133616.20298400,0
99,1717358400000,3782.37000000,3784.99000000,3765.99000000,3780.71000000,9704.17850000,1717361999999,36610100.16510100,16152,5269.49320000,19875061.51360000,0
